year,imdb,title,clean_test,binary,budget_2013,rated,metascore,imdb_rating
2013,tt0790628,The Incredible Burt Wonderstone,notalk,FAIL,32000000,PG-13,44,5.9
2013,tt2234155,The Internship,notalk,FAIL,58000000,PG-13,42,6.4
2013,tt2034139,The Last Exorcism Part II,ok,PASS,4000000,PG-13,35,3.9
2013,tt1210819,The Lone Ranger,notalk,FAIL,275000000,PG-13,37,6.6
2013,tt1538403,The Mortal Instruments: City of Bones,ok,PASS,60000000,PG-13,33,6
2013,tt2184339,The Purge,dubious,FAIL,3000000,R,41,5.5
2013,tt2017020,The Smurfs 2,ok,PASS,110000000,PG,34,5.4
2013,tt1758795,The To Do List,ok,PASS,1500000,R,61,5.8
2013,tt1727388,The Way Way Back,ok,PASS,5000000,PG-13,68,7.5
2013,tt0993846,The Wolf of Wall Street,notalk,FAIL,100000000,R,75,8.5
2013,tt1430132,The Wolverine,ok,PASS,115000000,PG-13,60,6.8
2013,tt1213663,The World&#39;s End,men,FAIL,20000000,NA,NA,NA
2013,tt1245492,This Is the End,notalk,FAIL,32000000,R,67,6.9
2013,tt1981115,Thor: The Dark World,dubious,FAIL,170000000,PG-13,54,7.3
2013,tt1924429,Trance,nowomen,FAIL,16000000,R,61,7
2013,tt1860353,Turbo,dubious,FAIL,135000000,PG,58,6.5
2013,tt1588173,Warm Bodies,men,FAIL,30000000,PG-13,59,7
2013,tt1723121,We&#39;re the Millers,ok,PASS,37000000,NA,NA,NA
2013,tt2334879,White House Down,men,FAIL,150000000,PG-13,52,6.4
2013,tt0816711,World War Z,dubious,FAIL,190000000,PG-13,63,7.1
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious,FAIL,68488103,R,42,6
2012,tt1591479,Act of Valor,nowomen,FAIL,12175663,R,40,6.5
2012,tt1602620,Amour,dubious,FAIL,9841994,PG-13,94,7.8
2012,tt1781769,Anna Karenina,men,FAIL,49717290,R,63,6.6
2012,tt1024648,Argo,ok,PASS,45151416,R,86,7.8
2012,tt1440129,Battleship,notalk,FAIL,212059460,PG-13,41,5.9
2012,tt2125435,Beasts of the Southern Wild,dubious,FAIL,1826349,PG-13,86,7.3
2012,tt1758575,Blue Like Jazz,ok,PASS,1217566,PG-13,48,6
2012,tt1217209,Brave,ok,PASS,187708135,PG,69,7.2
2012,tt1308729,Bullet to the Head,nowomen,FAIL,55805121,R,48,5.8
2012,tt1991245,Chernobyl Diaries,notalk,FAIL,1014639,R,NA,5
2012,tt1706593,Chronicle,notalk,FAIL,12175663,PG-13,69,7.1
2012,tt1371111,Cloud Atlas,ok,PASS,103493134,R,55,7.6
2012,tt1524137,Contraband,ok,PASS,25365964,R,51,6.5
2012,tt1853728,Django Unchained,notalk,FAIL,101463857,R,81,8.5
2012,tt1907668,Flight,dubious,FAIL,31453796,R,76,7.3
2012,tt1142977,Frankenweenie,nowomen,FAIL,39570904,PG,74,7
2012,tt2243973,Hannibal,ok,PASS,88273555,NA,NA,NA
2012,tt0837562,Hotel Transylvania,ok,PASS,86244278,PG,47,7.1
2012,tt0790724,Jack Reacher,notalk,FAIL,60878314,PG-13,50,7
2012,tt2106476,Jagten,men,FAIL,3500503,NA,NA,NA
2012,tt0401729,John Carter,ok,PASS,279025606,PG-13,51,6.6
2012,tt1764234,Killing Them Softly,nowomen,FAIL,15219578,R,64,6.2
2012,tt1707386,Les Miserables,ok,PASS,65951507,NA,NA,NA
2012,tt0454876,Life of Pi,notalk,FAIL,121756628,PG,79,8.1
2012,tt0443272,Lincoln,ok,PASS,65951507,PG-13,86,7.5
2012,tt1277953,Madagascar 3: Europe&#39;s Most Wanted,men,FAIL,147122592,NA,NA,NA
2012,tt1409024,Men in Black III,notalk,FAIL,218147292,NA,NA,NA
2012,tt1667353,Mirror Mirror,dubious,FAIL,86244278,PG,46,5.6
2012,tt1748122,Moonrise Kingdom,ok,PASS,16234217,PG-13,84,7.8
2012,tt2094064,Much Ado About Nothing,dubious,FAIL,8117109,PG-13,78,7.4
2012,tt1598828,One for the Money,ok,PASS,42614820,PG-13,22,5.3
2012,tt2109184,Paranormal Activity 4,ok,PASS,5073193,R,40,4.5
2012,tt1623288,ParaNorman,notalk,FAIL,60878314,PG,72,7
2012,tt1047540,Parental Guidance,ok,PASS,25365964,PG,36,6.1
2012,tt1716777,People Like Us,ok,PASS,16234217,PG-13,49,7.1
2012,tt1981677,Pitch Perfect,ok,PASS,17248856,PG-13,66,7.3
2012,tt1547234,Premium Rush,ok,PASS,35512350,PG-13,66,6.5
2012,tt1234719,Red Dawn,notalk,FAIL,65951507,PG-13,31,5.5
2012,tt0485985,Red Tails,men,FAIL,58849037,PG-13,46,5.9
2012,tt1446192,Rise of the Guardians,notalk,FAIL,147122592,PG,57,7.3
2012,tt1336608,Rock of Ages,ok,PASS,71024700,PG-13,47,5.9
2012,tt1656190,Safe,notalk,FAIL,33483073,R,55,6.5
2012,tt1862079,Safety Not Guaranteed,ok,PASS,760979,R,72,7.1
2012,tt1931533,Seven Psychopaths,notalk,FAIL,13697621,R,66,7.2
2012,tt0938330,Silent Hill: Revelation 3D,ok,PASS,20292771,R,15,5.1
2012,tt1045658,Silver Linings Playbook,ok,PASS,21307410,R,81,7.9
2012,tt1922777,Sinister,men,FAIL,3043916,R,53,6.8
2012,tt1074638,Skyfall,dubious,FAIL,202927713,PG-13,81,7.8
2012,tt1735898,Snow White and the Huntsman,ok,PASS,172488556,PG-13,57,6.2
2012,tt1876451,Sparkle,ok,PASS,10146386,PG-13,54,5.5
2012,tt2101441,Spring Breakers,ok,PASS,5073193,R,63,5.4
2012,tt1800741,Step Up Revolution,ok,PASS,33483073,PG-13,43,6.5
2012,tt1637725,Ted,men,FAIL,50731928,R,62,7.1
2012,tt1232200,That&#39;s My Boy,notalk,FAIL,68488103,NA,NA,NA
2012,tt0948470,The Amazing Spider-Man,men,FAIL,223220484,PG-13,66,7.2
2012,tt0848228,The Avengers,notalk,FAIL,60878314,PG-13,69,8.2
2012,tt1345836,The Dark Knight Rises,notalk,FAIL,279025606,PG-13,78,8.6
2012,tt1560985,The Devil Inside,ok,PASS,1014639,R,18,4.1
2012,tt1645170,The Dictator,notalk,FAIL,65951507,R,58,6.4
2012,tt1764651,The Expendables 2,ok,PASS,101463857,R,51,6.8
2012,tt1601913,The Grey,nowomen,FAIL,25365964,NA,NA,NA
2012,tt0903624,The Hobbit: An Unexpected Journey,nowomen,FAIL,253659641,PG-13,58,8.1
2012,tt1392170,The Hunger Games,ok,PASS,81171085,PG-13,67,7.3
2012,tt1649419,The Impossible,men,FAIL,40585543,PG-13,73,7.6
2012,tt1258972,The Man with the Iron Fists,notalk,FAIL,15219578,R,51,5.4
2012,tt1560747,The Master,notalk,FAIL,38048946,R,86,7.1
2012,tt1430626,The Pirates! Band of Misfits,notalk,FAIL,55805121,PG,NA,6.7
2012,tt1817273,The Place Beyond the Pines,notalk,FAIL,15219578,R,68,7.4
2012,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,dubious,FAIL,138193773,PG-13,52,5.6
2012,tt1606389,The Vow,ok,PASS,8866236,PG-13,43,6.8
2012,tt1298649,The Watch,men,FAIL,55805121,R,36,5.7
2012,tt1596365,The Woman in Black,notalk,FAIL,15219578,PG-13,62,6.5
2012,tt1840417,The Words,notalk,FAIL,6087831,PG-13,37,7.1
2012,tt1621045,Think Like a Man,ok,PASS,12175663,PG-13,51,6.5
2012,tt1859650,To Rome With Love,men,FAIL,21814729,NA,NA,NA
2012,tt1386703,Total Recall,notalk,FAIL,126829821,PG-13,43,6.3
2012,tt1496025,Underworld: Awakening,ok,PASS,71024700,R,39,6.4
2012,tt1655460,Wanderlust,ok,PASS,32975753,R,53,5.6
2012,tt1586265,What to Expect When You&#39;re Expecting,ok,PASS,38048946,NA,NA,NA
2012,tt1870529,Won&#39;t Back Down,ok,PASS,19278133,NA,NA,NA
2012,tt1646987,Wrath of the Titans,notalk,FAIL,152195785,PG-13,37,5.8
2012,tt1772341,Wreck-It Ralph,ok,PASS,167415363,PG,72,7.8
2012,tt1790885,Zero Dark Thirty,ok,PASS,53268525,R,95,7.4
2011,tt1622547,30 Minutes or Less,notalk,FAIL,28999342,R,49,6.2
2011,tt1306980,50/50,men,FAIL,8285526,R,72,7.8
2011,tt1571222,A Dangerous Method,dubious,FAIL,20713816,R,76,6.5
2011,tt1422136,A Lonely Place to Die,ok,PASS,4142763,R,NA,6.3
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,notalk,FAIL,20713816,NA,NA,NA
2011,tt1549572,Another Earth,ok,PASS,181246,PG-13,66,7
2011,tt1772240,Apollo 18,nowomen,FAIL,5178454,PG-13,24,5.2
2011,tt1430607,Arthur Christmas,notalk,FAIL,88033717,PG,69,7.1
2011,tt1478964,Attack the Block,ok,PASS,13463980,R,75,6.6
2011,tt1284575,Bad Teacher,ok,PASS,19678125,R,47,5.7
2011,tt1217613,Battle: Los Angeles,notalk,FAIL,72498355,NA,NA,NA
2011,tt1152398,Beastly,notalk,FAIL,17606743,PG-13,40,5.5
2011,tt1629705,Blackthorn,notalk,FAIL,4660609,R,61,6.6
2011,tt1478338,Bridesmaids,ok,PASS,33659951,R,75,6.9
2011,tt0458339,Captain America: The First Avenger,notalk,FAIL,144996710,PG-13,66,6.8
2011,tt1216475,Cars 2,men,FAIL,207138157,G,57,6.4
2011,tt1684628,Circumstance,ok,PASS,932122,R,65,6
2011,tt1657507,Colombiana,notalk,FAIL,41427631,PG-13,45,6.4
2011,tt0816462,Conan the Barbarian,dubious,FAIL,20713816,R,36,5.2
2011,tt1598778,Contagion,ok,PASS,62141447,PG-13,70,6.7
2011,tt1372686,Coriolanus,men,FAIL,10356908,R,79,6.1
2011,tt0409847,Cowboys &amp; Aliens,notalk,FAIL,168817598,NA,NA,NA
2011,tt1701990,Detention,ok,PASS,10356908,R,45,5.8
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,notalk,FAIL,18642434,PG,51,6.6
2011,tt1564349,Dolphin Tale,men,FAIL,38320559,PG,64,6.9
2011,tt1462041,Dream House,ok,PASS,51784539,PG-13,35,5.9
2011,tt0780504,Drive,dubious,FAIL,15535362,R,78,7.9
2011,tt1596343,Fast Five,ok,PASS,129461348,PG-13,67,7.3
2011,tt1622979,Final Destination 5,men,FAIL,41427631,R,50,5.9
2011,tt1068242,Footloose,ok,PASS,24856579,PG-13,58,5.8
2011,tt1438176,Fright Night,dubious,FAIL,31070724,R,64,6.4
2011,tt1133985,Green Lantern,notalk,FAIL,207138157,PG-13,39,5.7
2011,tt0480687,Hall Pass,men,FAIL,37284868,R,45,5.9
2011,tt0993842,Hanna,ok,PASS,31070724,PG-13,65,6.8
2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2,notalk,FAIL,129461348,PG-13,87,8.1
2011,tt1506999,Haywire,nowomen,FAIL,23820888,R,67,5.8
2011,tt1403177,Hesher,notalk,FAIL,7249836,NA,NA,NA
2011,tt1562568,Higher Ground,ok,PASS,1864243,R,74,6.3
2011,tt1411704,Hop,men,FAIL,65248520,PG,41,5.5
2011,tt1499658,Horrible Bosses,ok,PASS,36249178,R,57,6.9
2011,tt0970179,Hugo,dubious,FAIL,186424342,PG,83,7.6
2011,tt1464540,I Am Number Four,notalk,FAIL,51784539,PG-13,36,6.1
2011,tt1253864,Immortals,men,FAIL,77676809,R,46,6.1
2011,tt1637688,In Time,notalk,FAIL,36249178,PG-13,53,6.6
2011,tt1410063,Jin ling shi san chai,ok,PASS,103569079,NA,NA,NA
2011,tt1634122,Johnny English Reborn,dubious,FAIL,46606085,PG,46,6.3
2011,tt1640484,Jumping the Broom,ok,PASS,7249836,PG-13,56,5.5
2011,tt1564367,Just Go with It,dubious,FAIL,82855263,PG-13,33,6.4
2011,tt1448755,Killer Elite,nowomen,FAIL,72498355,R,44,6.5
2011,tt1302011,Kung Fu Panda 2,ok,PASS,155353618,PG,67,7.4
2011,tt1758692,Like Crazy,ok,PASS,258923,PG-13,71,6.7
2011,tt1219289,Limitless,notalk,FAIL,27963651,PG-13,59,7.4
2011,tt0466893,Margaret,ok,PASS,14499671,R,61,6.4
2011,tt1615147,Margin Call,notalk,FAIL,3521349,R,76,7.1
2011,tt1305591,Mars Needs Moms,dubious,FAIL,155353618,PG,49,5.4
2011,tt1441326,Martha Marcy May Marlene,ok,PASS,1035691,R,76,7
2011,tt1527186,Melancholia,ok,PASS,9735493,R,80,7.1
2011,tt1605783,Midnight in Paris,ok,PASS,31070724,PG-13,81,7.7
2011,tt1229238,Mission: Impossible - Ghost Protocol,notalk,FAIL,150175164,PG-13,73,7.4
2011,tt1210166,Moneyball,notalk,FAIL,51784539,PG-13,87,7.6
2011,tt1396218,Mr. Popper&#39;s Penguins,notalk,FAIL,56962993,NA,NA,NA
2011,tt1598822,New Year&#39;s Eve,ok,PASS,26927960,NA,NA,NA
2011,tt1411238,No Strings Attached,ok,PASS,25892270,R,50,6.2
2011,tt1720182,October Baby,ok,PASS,1035691,PG-13,32,6.7
2011,tt1637706,Our Idiot Brother,ok,PASS,5178454,R,60,6.5
2011,tt1778304,Paranormal Activity 3,ok,PASS,5178454,R,59,5.9
2011,tt1092026,Paul,ok,PASS,41427631,R,57,7.1
2011,tt1298650,Pirates of the Caribbean: On Stranger Tides,notalk,FAIL,258922697,PG-13,45,6.7
2011,tt0822847,Priest,notalk,FAIL,62141447,PG-13,41,5.7
2011,tt0448694,Puss in Boots,notalk,FAIL,134639802,PG,65,6.7
2011,tt1192628,Rango,notalk,FAIL,139818256,PG,75,7.3
2011,tt0433035,Real Steel,notalk,FAIL,113925987,PG-13,56,7.1
2011,tt1486185,Red Riding Hood,ok,PASS,43499013,PG-13,29,5.4
2011,tt0873886,Red State,ok,PASS,4142763,R,50,6.2
2011,tt1498569,Restless,ok,PASS,8285526,PG-13,47,6.8
2011,tt1436562,Rio,notalk,FAIL,93212171,G,63,7
2011,tt1318514,Rise of the Planet of the Apes,notalk,FAIL,96319243,PG-13,68,7.6
2011,tt1541995,Snow Flower and the Secret Fan,ok,PASS,6214145,PG-13,42,6
2011,tt1596346,Soul Surfer,ok,PASS,18642434,PG,53,7.1
2011,tt0945513,Source Code,notalk,FAIL,33142105,PG-13,74,7.5
2011,tt0999913,Straw Dogs,ok,PASS,25892270,R,45,5.8
2011,tt0978764,Sucker Punch,ok,PASS,77676809,PG-13,33,6.1
2011,tt1650062,Super 8,ok,PASS,51784539,PG-13,72,7.1
2011,tt1675192,Take Shelter,ok,PASS,4919531,R,85,7.5
2011,tt1385826,The Adjustment Bureau,dubious,FAIL,51991677,PG-13,60,7.1
2011,tt0983193,The Adventures of Tintin,notalk,FAIL,134639802,PG,68,7.4
2011,tt1655442,The Artist,notalk,FAIL,16571053,PG-13,89,8
2011,tt1412386,The Best Exotic Marigold Hotel,ok,PASS,10356908,PG-13,62,7.3
2011,tt1259521,The Cabin in the Woods,dubious,FAIL,31070724,NA,NA,NA
2011,tt1093357,The Darkest Hour,ok,PASS,36042039,PG-13,16,4.9
2011,tt1535616,The Divide,ok,PASS,3107072,R,28,5.8
2011,tt1235170,The Future,ok,PASS,1035691,R,67,6.1
2011,tt1568346,The Girl with the Dragon Tattoo,notalk,FAIL,93212171,R,71,7.9
2011,tt0990407,The Green Hornet,notalk,FAIL,113925987,PG-13,39,5.9
2011,tt1540133,The Guard,notalk,FAIL,6214145,R,78,7.3
2011,tt1454029,The Help,ok,PASS,25892270,PG-13,62,8.1
2011,tt1007029,The Iron Lady,ok,PASS,14499671,PG-13,54,6.4
2011,tt1189340,The Lincoln Lawyer,notalk,FAIL,41427631,R,63,7.3
2011,tt0472399,The Mechanic,nowomen,FAIL,44016858,R,49,6.5
2011,tt1204342,The Muppets,notalk,FAIL,46606085,PG,75,7.2
2011,tt1161864,The Rite,dubious,FAIL,38320559,PG-13,38,6
2011,tt1265990,The Roommate,ok,PASS,16571053,PG-13,23,4.8
2011,tt0472181,The Smurfs,ok,PASS,113925987,PG,30,5.5
2011,tt1509767,The Three Musketeers,men,FAIL,93212171,PG-13,35,5.8
2011,tt0478304,The Tree of Life,nowomen,FAIL,36249178,PG-13,85,6.7
2011,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,ok,PASS,132050575,PG-13,45,4.9
2011,tt0800369,Thor,ok,PASS,155353618,PG-13,57,7
2011,tt1340800,Tinker Tailor Soldier Spy,notalk,FAIL,21749507,R,85,7.1
2011,tt0471042,Tower Heist,notalk,FAIL,88033717,PG-13,59,6.2
2011,tt1399103,Transformers: Dark of the Moon,ok,PASS,201959703,PG-13,42,6.4
2011,tt1568911,War Horse,notalk,FAIL,72498355,PG-13,72,7.3
2011,tt1291584,Warrior,notalk,FAIL,25892270,PG-13,71,8.3
2011,tt1389137,We Bought a Zoo,men,FAIL,51784539,PG,58,7.2
2011,tt0770703,What&#39;s Your Number,ok,PASS,20713816,NA,NA,NA
2011,tt1449283,Winnie the Pooh,nowomen,FAIL,31070724,G,74,7.3
2011,tt1270798,X-Men: First Class,ok,PASS,165710526,PG-13,65,7.8
2011,tt1625346,Young Adult,ok,PASS,12428289,R,71,6.3
2011,tt1742336,Your Sister&#39;s Sister,ok,PASS,124283,NA,NA,NA
2010,tt1542344,127 Hours,dubious,FAIL,19228173,R,82,7.7
2010,tt1014759,Alice in Wonderland,ok,PASS,213646368,PG,53,6.5
2010,tt1313092,Animal Kingdom,notalk,FAIL,4486574,R,83,7.3
2010,tt1431181,Another Year,ok,PASS,8545855,PG-13,80,7.3
2010,tt1423894,Barney&#39;s Version,ok,PASS,32046955,NA,NA,NA
2010,tt1532503,Beginners,notalk,FAIL,3418342,R,81,7.2
2010,tt1164999,Biutiful,notalk,FAIL,37388114,R,58,7.5
2010,tt0947798,Black Swan,ok,PASS,13887014,R,79,8.1
2010,tt1126591,Burlesque,ok,PASS,58752751,PG-13,47,6.3
2010,tt1194417,Casino Jack,notalk,FAIL,13352898,R,51,6.2
2010,tt1020558,Centurion,notalk,FAIL,16023478,R,62,6.4
2010,tt1438254,Charlie St. Cloud,notalk,FAIL,47002201,PG-13,37,6.4
2010,tt0800320,Clash of the Titans,dubious,FAIL,133528980,PG-13,39,5.8
2010,tt1244754,Conviction,ok,PASS,13352898,R,61,7.2
2010,tt1385867,Cop Out,notalk,FAIL,39524578,R,31,5.7
2010,tt1555064,Country Strong,ok,PASS,16023478,PG-13,45,6.3
2010,tt1336617,Cyrus,notalk,FAIL,7477623,R,74,6.3
2010,tt1279935,Date Night,ok,PASS,58752751,PG-13,56,6.3
2010,tt0989757,Dear John,nowomen,FAIL,26705796,PG-13,43,6.2
2010,tt1323594,Despicable Me,ok,PASS,73707997,PG,72,7.7
2010,tt1314655,Devil,ok,PASS,10682318,PG-13,44,6.3
2010,tt1196141,Diary of a Wimpy Kid,ok,PASS,16023478,PG,56,6.2
2010,tt0427152,Dinner for Schmucks,notalk,FAIL,73707997,PG-13,56,5.9
2010,tt1270761,Don&#39;t Be Afraid of the Dark,ok,PASS,26705796,NA,NA,NA
2010,tt1231583,Due Date,notalk,FAIL,69435070,R,51,6.6
2010,tt1013860,Dylan Dog: Dead of Night,nowomen,FAIL,21364637,PG-13,31,5.2
2010,tt1282140,Easy A,ok,PASS,8545855,PG-13,72,7.2
2010,tt0879870,"Eat, Pray, Love",ok,PASS,64093910,NA,NA,NA
2010,tt1226273,Edge of Darkness,notalk,FAIL,64093910,R,55,6.6
2010,tt1531663,Everything Must Go,notalk,FAIL,5341159,R,65,6.5
2010,tt0977855,Fair Game,ok,PASS,53411592,PG-13,69,6.8
2010,tt1433108,Faster,nowomen,FAIL,12818782,R,44,6.5
2010,tt1405500,For Colored Girls,ok,PASS,22432869,R,50,5.8
2010,tt1323045,Frozen,notalk,FAIL,160234776,R,43,6.2
2010,tt1226229,Get Him To The Greek,notalk,FAIL,42729274,NA,NA,NA
2010,tt1322312,Going the Distance,ok,PASS,34183419,R,51,6.4
2010,tt0947810,Green Zone,nowomen,FAIL,106823184,R,63,6.9
2010,tt1375670,Grown Ups,ok,PASS,80117388,PG-13,30,5.9
2010,tt0926084,Harry Potter and the Deathly Hallows: Part 1,ok,PASS,133528980,PG-13,65,7.7
2010,tt1231587,Hot Tub Time Machine,notalk,FAIL,38456346,R,63,6.5
2010,tt0892769,How to Train Your Dragon,ok,PASS,176258254,PG,74,8.2
2010,tt1226236,I Am Love,ok,PASS,10682318,NA,NA,NA
2010,tt1375666,Inception,dubious,FAIL,170917095,PG-13,74,8.8
2010,tt1591095,Insidious,ok,PASS,1602348,PG-13,52,6.8
2010,tt1228705,Iron Man 2,ok,PASS,181599413,PG-13,57,7.1
2010,tt0804497,It&#39;s Kind of a Funny Story,notalk,FAIL,8545855,NA,NA,NA
2010,tt1250777,Kick-Ass,notalk,FAIL,29910492,R,66,7.8
2010,tt1013743,Knight and Day,men,FAIL,124983125,PG-13,46,6.3
2010,tt1038686,Legion,ok,PASS,27774028,R,32,5.1
2010,tt1228987,Let Me In,notalk,FAIL,21364637,R,79,7.2
2010,tt0892318,Letters to Juliet,dubious,FAIL,32046955,PG,50,6.5
2010,tt0758752,Love and Other Drugs,men,FAIL,32046955,NA,NA,NA
2010,tt0985694,Machete,ok,PASS,13352898,R,60,6.7
2010,tt1371155,Made In Dagenham,ok,PASS,8545855,NA,NA,NA
2010,tt1518812,Meek&#39;s Cutoff,men,FAIL,2136464,NA,NA,NA
2010,tt1001526,Megamind,nowomen,FAIL,138870139,PG,63,7.3
2010,tt1470827,Monsters,nowomen,FAIL,534116,R,63,6.4
2010,tt1126618,Morning Glory,ok,PASS,42729274,PG-13,57,6.5
